id,父母A,id,父母B,id,结果
111,空涡龙,111,空涡龙,111,空涡龙
110,唤冬兽,97,雷冥鸟,110,唤夜兽
110,唤冬兽,110,唤冬兽,110,唤冬兽
109,混沌骑士,109,混沌骑士,109,混沌骑士
108,圣光骑士,108,圣光骑士,108,圣光骑士
61,苍焰狼,98,魔渊龙,107,异构格里芬
103,暴电熊,85,佩克龙,106,波鲁杰克斯
71,烽歌龙,100,阿努比斯,105,荷鲁斯
104,百合女王,99,冥铠蝎,104,黑月女王
33,叶胖达,87,花丽娜,104,百合女王
33,叶胖达,60,霹雳犬,103,暴电熊
102,朱雀,101,覆海龙,102,清雀
101,腾炎龙,101,腾炎龙,101,腾炎龙
90,森猛犸,91,白绒雪怪,90,雪猛犸
89,君王美露帕,59,严冬鹿,89,冰帝美露帕
88,熔岩兽,57,吹雪狐,88,寒霜兽
86,连理龙,6,冲浪鸭,86,海誓龙
85,佩克龙,7,伏特喵,85,派克龙
84,狱焰王,94,夜幕魔蝠,84,狱阎王
80,精灵龙,65,滑水蛇,80,水灵龙
71,烽歌龙,57,吹雪狐,71,霜歌龙
65,滑水蛇,43,趴趴鲶,65,流沙蛇
64,花冠龙,60,霹雳犬,64,雷冠龙
58,火麒麟,75,暗巫猫,58,邪麒麟
48,羽箭射手,22,遁地鼠,48,山岳射手
45,朋克蜥,70,融焰娘,45,热血蜥
40,炎魔羊,66,噬魂兽,40,暗魔羊
37,紫霞鹿,32,吊缚灵,37,祇岳鹿
33,叶胖达,103,暴电熊,33,雷胖达
32,吊缚灵,53,毛掸儿,32,冰缚灵
31,鲨小子,9,燎火鹿,31,红小鲨
24,喵斯特,10,企丸丸,24,冰丝特
12,雷棘鼠,10,企丸丸,12,冰刺鼠
